0 0 738.4164959715 0.0000 0 1138.2923040363 0.0000 0 1259.5367264507 0.0000 0 1852.6089360665 0.0000 0 2137.1359857867 0.0000 0 831.4658549859 0.0000 0 1223.7391865190 0.0000 0 1293.7308026244 0.0000 0 1821.1482723788 0.0000 0 2145.5966390670 0.0000 0 1539.7108155139 0.0000 0 1084.4614173152 0.0000 0 1816.0576265083 0.0000 0 1198.1633101041 0.0000
5 308 524.6111466425 1.0000 96 916.9571726472 0.9109 9 917.0617905770 0.9009 3 1852.6089360665 0.0000 2 2137.1359857867 0.0000 506 556.6791413260 0.9978 100 932.4921069894 0.9755 9 1293.7308026244 0.0000 3 1821.1482723788 0.0000 2 2145.5966390670 0.0000 5 1412.4683478939 0.7378 9 942.4878182314 0.8696 6 1816.0576265083 0.0000 10 1001.1095977720 0.8654
10 1037 524.6111466425 1.0000 488 863.1908389323 0.9676 50 842.4557265445 0.9806 6 1347.0075453413 0.7635 3 2137.1359857867 0.0000 1300 555.4302364991 1.0000 482 926.5361919108 0.9818 74 883.9635301963 0.9796 7 1821.1482723788 0.0000 3 2145.5966390670 0.0000 11 1288.7909218879 0.8086 81 872.8528827139 0.9389 14 1816.0576265083 0.0000 56 910.0620032018 0.9520
15 1602 524.6111466425 1.0000 878 862.9283257456 0.9679 207 839.6046081319 0.9840 10 1266.3502459314 0.8121 5 1995.1117986053 0.6473 2142 555.4302364991 1.0000 863 926.5361919108 0.9818 246 868.2929854054 0.9973 11 1821.1482723788 0.0000 5 2145.5966390670 0.0000 29 1219.1793719907 0.8548 258 848.7428605266 0.9656 80 1655.5738669642 0.9309 222 905.9577152570 0.9563
20 2141 524.6111466425 1.0000 1274 855.9788675776 0.9758 375 839.6046081319 0.9840 15 1193.8082717826 0.8615 7 1750.2973261387 0.7378 2858 555.4302364991 1.0000 1246 917.0056859080 0.9920 411 868.2929854054 0.9973 17 1391.8646302836 0.8352 7 2145.5966390670 0.0000 137 1126.0183488920 0.9255 432 848.5542488274 0.9658 206 1620.2997982137 0.9511 404 895.7178187446 0.9672
25 2638 524.6111466425 1.0000 1662 848.2951202385 0.9846 539 836.5910607010 0.9875 38 1131.8385645051 0.9086 9 1689.1125154544 0.7646 3470 555.4302364991 1.0000 1632 915.4295714898 0.9937 581 868.2929854054 0.9973 55 1271.3887039983 0.9144 9 2145.5966390670 0.0000 243 1116.8315939849 0.9331 603 848.5542488274 0.9658 330 1613.0986186913 0.9554 588 892.9259350204 0.9703
30 3118 524.6111466425 1.0000 2053 847.6154153276 0.9854 705 834.4599959609 0.9900 105 1091.0728421871 0.9426 11 1669.3509425929 0.7736 4040 555.4302364991 1.0000 2018 913.3681257734 0.9960 754 868.2929854054 0.9973 122 1259.5342485558 0.9230 11 2145.5966390670 0.0000 353 1111.7411257401 0.9374 775 845.2653377719 0.9696 454 1611.9190796930 0.9561 777 892.9259350204 0.9703
35 3568 524.6111466425 1.0000 2435 845.4500496671 0.9879 869 834.4599959609 0.9900 173 1081.3340317247 0.9511 13 1628.0970302693 0.7932 4622 555.4302364991 1.0000 2401 913.3681257734 0.9960 923 868.2929854054 0.9973 192 1257.5848268821 0.9244 13 2145.5966390670 0.0000 461 1105.4683977106 0.9427 946 845.2653377719 0.9696 580 1611.4877800785 0.9563 968 892.9259350204 0.9703
40 4032 524.6111466425 1.0000 2805 845.4500496671 0.9879 1028 834.4599959609 0.9900 243 1076.7011221967 0.9552 16 1580.9223002152 0.8169 5171 555.4302364991 1.0000 2761 913.3681257734 0.9960 1090 868.2929854054 0.9973 260 1229.4380220191 0.9456 16 2145.5966390670 0.0000 570 1105.4075443895 0.9427 1115 843.9015804771 0.9712 709 1611.4877800785 0.9563 1152 892.9259350204 0.9703
45 4456 524.6111466425 1.0000 3190 845.4500496671 0.9879 1195 829.5410915524 0.9959 310 1070.4399134746 0.9607 21 1569.6341714990 0.8228 5684 555.4302364991 1.0000 3082 913.3681257734 0.9960 1256 868.2929854054 0.9973 329 1225.6375556839 0.9485 21 2145.5966390670 0.0000 678 1105.4075443895 0.9427 1278 843.9015804771 0.9712 835 1609.7581303718 0.9574 1340 892.9259350204 0.9703
50 4875 524.6111466425 1.0000 3537 845.4500496671 0.9879 1363 829.5410915524 0.9959 374 1068.5142368079 0.9625 47 1505.5026825157 0.8578 6172 555.4302364991 1.0000 3405 913.3681257734 0.9960 1394 866.7381878936 0.9991 400 1225.0548931912 0.9490 49 1673.0922609028 0.8343 788 1095.1142322796 0.9516 1442 843.9015804771 0.9712 963 1609.1293027274 0.9577 1528 892.2468557638 0.9710
55 5270 524.6111466425 1.0000 3870 845.4500496671 0.9879 1530 829.5410915524 0.9959 438 1068.5142368079 0.9625 83 1423.7102864782 0.9071 6660 555.4302364991 1.0000 3723 913.3681257734 0.9960 1561 865.9445056376 1.0000 471 1225.0548931912 0.9490 82 1553.8039107222 0.8983 894 1091.7078727601 0.9546 1605 843.9015804771 0.9712 1090 1608.6926990411 0.9580 1714 892.2468557638 0.9710
60 5658 524.6111466425 1.0000 4229 844.2020898620 0.9894 1700 829.4473653779 0.9960 505 1068.5142368079 0.9625 118 1399.3138750412 0.9229 7120 555.4302364991 1.0000 4010 913.3681257734 0.9960 1727 865.9445056376 1.0000 539 1222.9105667609 0.9506 117 1545.1697025239 0.9034 1004 1091.7078727601 0.9546 1773 843.9015804771 0.9712 1217 1608.6926990411 0.9580 1901 892.2468557638 0.9710
